Parallel stats,,,,,
min,avg,max,stddev,count,total
88,98.9208,486,11.24821441,10000,989208
,,,,,
,,,,,
Serial stats,,,,,
min,avg,max,stddev,count,total
378,578.5003,1065,37.16868843,10000,5785003
,,,,,
,,,,,
,,,,,
Paralle speedup,,,,,
5.848115866,,,,,
